,JobName,JobId,SequenceId,SequenceLength
0,20220207-32-T1059-8-32-4-16-1,6677560b-f8c5-4907-b116-4a553f1f0738,T1059,32
1,20220207-35-T1062-8-32-4-16-1,b0628dc8-475d-44f1-bb48-bb0bf6cbe784,T1062,35
2,20220207-69-T1072s2-8-32-4-16-1,4b59d2d3-8567-43ab-a968-25cdc3d7e714,T1072s2,69
3,20220207-73-T1084-8-32-4-16-1,0fdfa415-d29e-4c41-9eaf-caa7556ce17f,T1084,73
4,20220207-74-T1046s1-8-32-4-16-1,1b978b5e-0efe-476e-9109-dfd1a50bca3a,T1046s1,74
5,20220207-93-T1087-8-32-4-16-1,a6e1bd6d-26b6-4236-827c-49c11051e18f,T1087,93
6,20220207-95-T1031-8-32-4-16-1,d3a39438-8fb0-44c2-aa7e-1d1e6b2b2eaa,T1031,95
7,20220207-97-T1082-8-32-4-16-1,e8d58063-c220-46e2-bb30-542097cccb78,T1082,97
8,20220207-98-T1083-8-32-4-16-1,dceda83b-2163-4a84-9662-87662214d1e8,T1083,98
9,20220207-98-T1065s2-8-32-4-16-1,790116a2-5771-4c0b-bd4b-a9add803f8b5,T1065s2,98
10,20220207-100-T1033-8-32-4-16-1,4358adff-53a7-432e-811d-c6ed005e97ae,T1033,100
11,20220207-101-T1072s1-8-32-4-16-1,aeb0a402-d452-4a63-b6d7-17f7edd64591,T1072s1,101
12,20220207-102-T1035-8-32-4-16-1,665e013b-e261-4d0d-89ea-db51c0226093,T1035,102
13,20220207-106-T1064-8-32-4-16-1,dd5b4b29-702c-4873-b040-fceda3feb146,T1064,106
14,20220207-109-T1048-8-32-4-16-1,9fc35e4d-cd6a-4aa0-a800-4ccf71c7cef8,T1048,109
15,20220207-122-T1069s2-8-32-4-16-1,3cc0c1d9-ef5e-407f-9e63-55fec363c2d6,T1069s2,122
16,20220207-123-T1066s2-8-32-4-16-1,7ace2de7-0b47-4dd3-af9f-a194aa81f2bf,T1066s2,123
17,20220207-125-T1029-8-32-4-16-1,770d5a73-5d28-4cae-86f6-ac26770198a4,T1029,125
